Frame#,Object_ID,Classification,Left,Top,Right,Bottom,Dist_x(mm),Dist_y(mm)
271,1,2,133,262,152,337,6951,8559
272,1,2,133,262,152,337,6951,8559
273,1,2,131,262,151,336,7016,8801
274,1,2,129,262,151,336,6994,8809
275,1,2,127,262,151,336,6972,8816
276,1,2,125,262,151,336,6951,8824
277,1,2,124,262,152,336,6951,8824
278,1,2,122,262,152,336,6929,8832
279,1,2,120,262,152,336,6908,8839
280,1,2,118,262,152,336,6886,8847
281,1,2,115,263,153,337,6783,8619
282,1,2,115,263,153,337,6783,8619
283,1,2,114,262,150,336,6821,8869
284,1,2,114,262,148,336,6799,8877
285,1,2,114,262,146,336,6777,8884
286,1,2,114,262,144,337,6677,8654
287,1,2,114,262,143,337,6656,8661
288,1,2,114,261,141,336,6712,8906
289,1,2,114,261,139,337,6614,8675
290,1,2,114,261,137,337,6592,8682
291,1,2,114,261,134,338,6499,8463
292,1,2,114,261,134,338,6499,8463
293,1,2,112,261,133,337,6528,8702
294,1,2,110,261,132,337,6507,8709
295,1,2,108,261,131,337,6465,8722
296,1,2,106,261,130,337,6443,8728
297,1,2,104,261,130,337,6422,8735
298,1,2,102,261,129,337,6379,8748
299,1,2,100,261,128,337,6358,8754
300,1,2,98,261,127,337,6315,8766
301,1,2,95,262,127,338,6229,8545
302,1,2,95,262,127,338,6229,8545
303,1,2,94,261,124,337,6250,8784
304,1,2,94,261,123,337,6229,8790
305,1,2,94,261,122,337,6229,8790
306,1,2,94,261,121,337,6207,8796
307,1,2,94,261,120,337,6207,8796
308,1,2,93,261,118,337,6164,8808
309,1,2,93,261,117,337,6164,8808
310,1,2,93,261,116,337,6143,8814
311,1,2,93,261,114,338,6061,8590
312,1,2,93,261,114,338,6061,8590
313,1,2,90,261,112,338,6019,8601
314,1,2,88,261,111,338,5977,8612
315,1,2,86,261,111,338,5956,8617
316,1,2,84,261,110,338,5935,8623
317,1,2,82,261,110,338,5913,8628
318,1,2,79,261,108,338,5850,8643
319,1,2,77,261,107,338,5829,8648
320,1,2,75,261,107,338,5808,8653
321,1,2,71,262,106,339,5695,8448
322,1,2,71,262,106,339,5695,8448
323,1,2,70,262,104,339,5674,8453
324,1,2,70,262,103,339,5654,8457
325,1,2,70,262,102,339,5654,8457
326,1,2,69,262,101,339,5633,8462
327,1,2,69,262,100,339,5612,8466
328,1,2,69,262,99,339,5612,8466
329,1,2,68,262,98,339,5592,8470
330,1,2,68,262,97,339,5571,8475
331,1,2,68,262,96,339,5571,8475
332,1,2,68,262,96,339,5571,8475
333,1,2,66,262,94,339,5529,8483
334,1,2,64,262,93,339,5488,8492
335,1,2,62,262,91,339,5446,8500
336,1,2,60,262,90,339,5425,8504
337,1,2,58,262,89,339,5384,8512
338,1,2,56,262,87,339,5342,8519
339,1,2,54,262,86,339,5321,8523
340,1,2,52,262,84,339,5279,8530
341,1,2,49,262,83,339,5238,8537
342,1,2,49,262,83,339,5238,8537
343,1,2,48,261,81,338,5232,8766
344,1,2,48,261,80,338,5232,8766
345,1,2,48,261,79,339,5175,8548
346,1,2,48,260,78,338,5210,8769
347,1,2,48,260,78,339,5175,8548
348,1,2,47,260,76,339,5133,8554
349,1,2,47,259,75,338,5167,8776
350,1,2,47,259,74,339,5112,8557
351,1,2,47,259,73,340,5080,8346
352,1,2,47,259,73,340,5080,8346
353,1,2,45,259,71,339,5070,8564
354,1,2,43,259,70,339,5028,8570
355,1,2,41,259,69,339,5007,8573
356,1,2,39,260,68,340,4937,8367
357,1,2,37,260,67,340,4916,8369
358,1,2,35,260,65,340,4875,8375
359,1,2,33,261,64,341,4810,8178
360,1,2,31,261,63,341,4790,8181
361,1,2,28,262,62,342,4727,7993
362,1,2,28,262,62,342,4727,7993
363,1,2,27,261,60,341,4709,8190
364,1,2,27,261,60,341,4709,8190
365,1,2,26,261,59,341,4689,8192
366,1,2,26,260,59,341,4689,8192
367,1,2,26,260,59,341,4689,8192
368,1,2,25,260,57,341,4669,8194
369,1,2,25,259,57,341,4669,8194
370,1,2,24,259,56,341,4649,8196
371,1,2,24,259,56,342,4630,8003
372,1,2,24,259,56,342,4630,8003
373,1,2,22,259,53,341,4589,8202
374,1,2,21,259,52,340,4588,8406
375,1,2,20,259,50,340,4567,8408
376,1,2,19,260,49,340,4547,8410
377,1,2,18,260,48,340,4526,8412
378,1,2,17,260,46,339,4502,8628
379,1,2,16,261,45,339,4481,8630
380,1,2,15,261,43,339,4460,8631
381,1,2,13,262,41,339,4417,8634
382,1,2,13,262,41,339,4417,8634
383,1,2,12,262,40,339,4396,8636
384,1,2,12,262,40,339,4396,8636
385,1,2,11,262,39,339,4375,8637
386,1,2,11,262,39,339,4375,8637
387,1,2,10,262,38,339,4354,8639
388,1,2,10,262,38,339,4354,8639
389,1,2,9,262,37,339,4333,8640
390,1,2,9,262,37,339,4333,8640
391,1,2,8,262,37,340,4299,8428
392,1,2,8,262,37,340,4299,8428
393,1,2,7,262,35,339,4290,8642
394,1,2,7,262,34,339,4269,8644
395,1,2,6,262,33,339,4248,8645
396,1,2,6,262,32,339,4248,8645
397,1,2,5,262,31,339,4227,8646
398,1,2,5,262,30,339,4206,8647
399,1,2,4,262,28,339,4185,8648
400,1,2,4,262,28,339,4185,8648
401,1,2,3,262,26,339,4142,8649
402,1,2,3,262,26,339,4142,8649
403,1,2,3,262,26,339,4142,8649
404,1,2,3,262,26,339,4142,8649
405,1,2,3,262,26,339,4142,8649
406,1,2,3,262,26,339,4142,8649
407,1,2,3,262,26,339,4142,8649
408,1,2,3,262,26,339,4142,8649
409,1,2,3,262,26,339,4142,8649
410,1,2,3,262,26,339,4142,8649
411,1,2,3,262,26,339,4142,8649
412,1,2,3,262,26,339,4142,8649
413,1,2,3,262,25,339,4142,8649
414,1,2,3,262,25,339,4142,8649
415,1,2,3,262,25,339,4142,8649
416,1,2,3,262,24,339,4121,8650
417,1,2,3,262,24,339,4121,8650
418,1,2,3,262,24,339,4121,8650
419,1,2,3,262,23,339,4121,8650
420,1,2,3,262,23,339,4121,8650
421,1,2,3,262,23,339,4121,8650
422,1,2,3,262,23,339,4121,8650
423,1,2,3,262,23,339,4121,8650
424,1,2,3,262,23,339,4121,8650
425,1,2,3,262,23,339,4121,8650
426,1,2,3,262,23,339,4121,8650
427,1,2,3,262,23,339,4121,8650
428,1,2,3,262,23,339,4121,8650
429,1,2,3,262,23,339,4121,8650
430,1,2,3,262,23,339,4121,8650
431,1,2,3,262,23,339,4121,8650
